review,sentiment
"Still need more AI built into it to interact better. It needs to continue the conversation sometimes if the finding / answer needs to be right. You can't keep stop Alexa and ask again and again. Also, it should be able to access the wikipedia, dictionary in many areas with better and fast access.Needs to hear us better. Also, we should be able to name it on our own instead calling Alexa or Echo. Price can be reduced a bit (value based) and updates should be auto and daily to improve it.  Connectivity to other home equipment can be imrproved as well.Good product with good sound quality, but needs more AI built in.",neutral
After only a couple of days Alexa did not answer. I have disconnected and will see if it does any better after reconnecting.,negative
This is the best Amazon speaker with Alexa in it.  But if you’re thinking it’s a good smart hub you’re wrong. Are you can do is connect your smart lights and devices to it and tell Alexa to Turn them on and off. That’s it! You’re better off buying separate hubs so you have more control of your devices.,neutral
"I like the option for white, but it’s bizarre that it comes with a black cord. I have a white kitchen, so now I have this stands-out-like-a-sore-thumb black power cord. For aesthetic purposes, I was happier with my year-old white Echo (not Show) because it came with a white powercord. This seems like a major design flaw in the “white” option. I strongly urge Amazon to change out the powercord to white.",neutral
Absolutely love it!!!!,positive
The speakers arent too loud.. alexa is great though. Besides that naw,neutral
"I got a second unit for the bedroom, I was expecting the sounds to be improved but I didnt really see a difference at all.  Overall, not a big improvement over the 1st generation.",neutral
"The voice recognition is amazing, perfect companion for the bedroom.",positive
"Unit is working great, but it is a true PIA that products today are shipped without user manuals. Do manufacturers truly believe that user will magically know the full capabilities of each product purchased? I have no idea of the echo show's capabilities. I have it linked to my Hue lights, but have no idea what commands will work, and what won't. I purchased a Fire TV Stick along with the Show, but have no idea how to maximize the two. Just a few examples.I even purchased a text that other users have found to be helpful. Seems way too basic to me, but better than a kick in the pants.",positive
no habla espanol,negative
I bought it for my sister and she hasn't had any complaints yet so I think it's great!,positive
Gift for husband.  Great!,positive
Fairly useless.,negative
"Hard to hear, had to blue tooth it to a better speaker.",neutral
This device does not interact with my home filled with Apple devices.  How disappointing!,negative
The echo works fine but then you get indundated with &#34;Things to try&#34;. I am not a 10 year old that needs stimulus to tell me to do things. I found there is no way to turn this off except for .... turning off the screen. If I cannot find a suitable fix for this it goes back.,negative
Being able to tell it what to go to,positive
"Already owning a couple of Echos, I was frustrated that I couldn’t also use them as intercoms. Finally Amazon enables the “drop-in” feature so now I can use my Echos to reach out to family in remote parts of the house (and teenagers who insist they never heard me yelling at them to come down to dinner).As for its other features, we mainly use our Echos for the standard stuff: playing music, setting alarms, answering questions, etc. It's not the life-changing home device Amazon would have you believe, but it is convenient to have around. This refurb saved me a few bucks, looks and works the same as the other brand-new ones.",positive
It worked for a month or so then it stopped. I've tried everything to try and make it work but nothing is working. I want a refund,negative
Love this just wish it had a built in hub,positive
Perfect,positive
I wanted to use these as a radio and intercom as we get terrible fm reception where i live.  The speech recognition software is horrible.  My wife and i both are native Americans whose language is English she is from the north i am from Texas  neither have an accent from our birth area and yet it does not do a good job understanding us.  We bought two they do the same thing.  Additionally wifi reception was poor to marginal. I had to buy Wifi range extender for office and the other is ten feet from our router.  Both had problems Switched them around no difference.  So it they are now disconnected dust collectors.,negative
"Alexa is a decent speaker if that's all you need. She is terrible at most other things. She consistently answers questions that were not asked or says &#34;hmmm I don't know that&#34; for everything else. We've gone back to just using our phones because she can't really look anything up. Pretty much everyone makes fun of me for spending money on this when I had an awesome Bose bluetooth already. I bought her because my mother (who lives alone) uses hers a lot and is happy with it, but we have a full house with kids and I'm less than impressed. I'd never recommend it to anyone except for senior citizens who love alone and need to be able to shout out for help in the event of a fall.",neutral
It is very slow compared to the echo,negative
Gift for my man. He doesn’t like that you have to plug it in and the pictures do not show the cord. Would prefer it cordless. Still works though for the purpose we bought it.,neutral
It was easy to set up and affordable! Love it!,positive
"I took a chance on a certified refurbished unit for $29. Looks brand new...no excuses or disappointments. 5 minute trouble-free set up! Effortless bluetooth speaker connectivity through the Alexa App on my iPhone was flawless. Listening to my favorite tunes through a Bose Bluetooth setup and couldn't be happier. Walk through the door and just ask Alexa to: &#34;Play 80's music&#34; and viola... instant atmosphere! No more opening the iPad, going to settings, turning on bluetooth and then accessing the Pandora app. It just makes things so effortless. A true joy right out of the box! If I didn't discover any other uses for this fine piece of technology it was worth every penny!",positive
The alexa is awesome but when i rcieved the light buld i did not know that u need another adapter to have the light buld to work. I was not aware of that.  Disappointed,negative
"I am not easily impressed with electronic goodies. But...OMG this is by far the coolest thing I have ever had.  It does everything short of clean your house... which, when I asked Alexa to clean my house.... was told she didn’t have hands, but instead played a fantastic playlist for cleaning!  From reading books to my five year old, to video chat, to silly selfies, music that automatically goes to my Bose Bluetooth speaker, setting timers, alarms, changing my thermostat on voice command, tells me the weather, sends hubby a grocery pick up list, and I am sure. Million more things!BUY IT.....you u will not regret it.",positive
I love it.  I made a group with my echo dot so I get music through my home.  I am waiting for the to go on sale again so hopefully I can get another spot for my bedroom..  I love the alarm and weather at the sound of my voice..,positive
"This item did not work. Certified refurbished should mean it works as advertised. Instead this item crashed as soon as I turned it on and plugged it in. When trying to connect from my phone to the echo dot, it crashed, over and over. Not only would it disconnect but the orange light would freeze and then the thing would reboot with the blue light. Alexa would tell me it’s ready to connect and freeze mid sentence. Tried holding the action button for 5 seconds and it didn’t do anything. Returning immediately and hope they actually fix this item when the next buyer purchases it.",negative
"It won’t work as a blue tooth speaker with my tv,it connects but won’t work",neutral
So far not impressed at all. Does not save groups correctly can not understand me most of the time I'm not sure what the excitement is all about. Alexas voice sounds like it's under water how am I supposed to understand!!!!I'm going to return and try a google home!!!,negative
Blue light blinks all the time,neutral
Glad I upgraded my aka,positive
Great buy at $20!,neutral
"I wanted a white dot for my white bathroom.  The top is black as shown, which I knew, but I did not realize the cord and plug were also black. I wanted a white cord and plug.",negative
We have six of these throughout our home and they are great.  There are times when music or talking happens randomly that may be from sensitive listening.  There should be more options to change the name of the engagement command &#34;Alexa&#34; or &#34;Computer&#34; are a little annoying.  More colors then black and white would also be a good thing.,positive
"Two weeks after setting it up it no longer works.  No connection, no light, no sound.  I guess I shouldn't have purchased a refurbished Dot.",negative
"Initially, this echo dot worked very well. Over time, the dot stopped responding to 'alexa' unless you were within one foot of it yelling. The other echos/echo dots in other rooms would respond without a response from this echo dot. Would not recommend buying refurbished.",negative
"It won’t work as a blue tooth speaker with my tv,it connects but won’t work",neutral
I think this is the 5th one I've purchased. I'm working on getting one in every room of my house. I really like what features they offer specifily playing music on all Echos and controlling the lights throughout my house.,positive
Great size for bedside. Plus it dims at night!!,positive
No YouTube,negative
I love you so much,positive
"Very disappointed when we had to mandatory upgrade and when we final got done with the upload, we had lost our local Charlotte NC channels (which are pur news and weather also)  (CBS, NBC, ABC) and 2 days later was Amazon day with discounts on what we had JUST ordered.",negative
Does not work all the time,negative
Had a dot and upgraded to this! I like it. My only complaint is the very short instructions,positive
"Disappointed that this device Is not able to access youtube as of Dec 2017. I wasn’t aware of that when I purchased it. I’ve had problems with my device. The voice stops working throughout the day. I can see it trying to respond to me, because the window it opens contains the info I asked about, but it’s like the device gets stuck in the process. It stops working, and the blue bar just flashes. I keep having to unplug and restart the device. Once I do that, it starts working again. So irritating. This device could really be a great device if Google and Amazon would act like grownups...",negative
No problems,positive
I used the product for my phone to look up the weather and watch videos,positive
"Fun to use, good sound quality",positive
I bought three of these and all three have worked flawlessly. If they weren't labeled as refurbished I wouldn't have known,positive
Have now used for several months without problem.,positive
I used it to control my smart home devices. Works great.,positive
Doesn't always respond when spoken to with promp word. I thought it would connect to my echo upstairs and use it like an intercom haven't been able to do that.,negative
I would not recommend this to anyone. It won't load netflix or if it does on rare occasion it won't run the program all the way thru. It tells you the we are unable to process this title at this time. Try again later.  It is not the Netflix site cause I can stream it just fine on my computer.  Its the Firestick. very disappointing.,negative
"For the price, the product is nice quality and has a few nice features. So definitely no complaints there. The reason why I only gave it 3 stars is because the echo dot is not what I thought it was going to be so that may just be buyer error. First, I didn’t know that the product has to be plugged in at all times to work. So I really don’t like that it’s not a stand alone device. Also, the speaker is not very loud so if you are buying it as a Bluetooth speaker, don’t. Lastly, I’m sure the echo dot can do a lot but I haven’t quite figured out how to use it fully but it just kind of seems like an unnecessary device to own, plus setting it up was awful. I would definitely save the money and buy the nicer one that is actually “Alexa”.",negative
"I love Alexa, but the sound on the dot is not the best. I own an echo 2nd gen for the kitchen/living room and got this for my bedroom, but there’s a SIGNIFICANT difference in sound. The dot lacks a full base sound and sounds as if it’s coming off a cheap portable speaker. I was REALLY disappointed. I returned it right away and just shelled out the money to buy a second echo 2 for my bedroom also.",neutral
"I was suppose to get the “free” lightbulb with purchase. It did not come with Echo. Upon reading more carefully, it says to click a box to receive free bulb. 😳 of course I want the free bulb, who wouldn’t? Just a sneaky way for them to get out of having to give so many “ free”  bulbs away. Disappointed!  I have yet to set up my echo, our first purchase on any alexia device. Debating if we want to keep it. It did come quickly with my prime membership.",neutral
The built in hub lacks some of the features (geo fencing) of the Phillips hub.  Otherwise would have given it 5 stars.,neutral
I like the list ability and the music I can play.  I do not like that I can not create a playlist without using the app and even then Alexa will not play my songs I have to do it through my tablet or phone.  I also do not like that Alex can not print again it has to be done through the app.,neutral
"So far it has worked well. Not always intuitive as to how to link different devices, or ""skills"", but getting the hang of it.",positive
Bought this for my daughter when she turned 9.  She loves it!!  I especially like the calling feature since she doesn’t have a cell phone.  She loves playing music and dancing and with Amazon music she can play all her favorite songs ...... sometimes over and over and over again lol!,positive
Purchased to use on the road in my semi. Does not work in that application.,negative
"This was my 4th echo device, 1st echo show  it seemed to have huge potential, and I really wanted to like it, but soon found out it is quite limited. A bit disappointing, but not the end of the world, I used it like I use my other, screenless echos.... For a little under 2 month, when the screen started flickering, mostly on the bottom of the screen but not just. A quick look in some forums made me understand it is pointless asking for a replacement, as some people had 2-3 devices replaced, only to start flickering again shortly after. Amazon are not providing any serious answers, and this has been going on for quite some time apparently.Long story short, I moved it to the hallway, and been using it as a very expensive... and bulky voice activated light switch for my hue lights. So like the headline suggests... Meh.",negative
"It does not speak in Spanish,,,I bought it for my grandmother to have someone to talk to when I’m not around,,,,,no Spanish!",negative
The speakers sound pretty good for being so small and setup is pretty easy.  I bought two and the reason I only rate it a 3 is I have followed the instructions for synching music to both units.  I know I've done it correctly but they won't sync.  That was my primary motivation for purchasing multiple units.,neutral
"Very pleased with the Echo 2nd Generation. It is so nice to have Alexa available for music, weather, news, and probably a lot more we haven’t discovered.",positive
"Very intrusive, so I turn it off",negative
"Device is touted as able to link to calendar on my Samsung phone through google, can't get it to work",neutral
Get rid of the &#34;Thongs To Try&#34; screen!!!!!!!!!! Numb nuts!!!!!,negative
I liked linking two more rooms in the home,positive
Omg we love it!,positive
Didn’t really work as smooth as they make it seem like.,negative
"very handy in the kitchen, sets timer and gives me extra help on setting oven temps.",positive
Not bad bad speaker for sound,neutral
It works OK. This speaker quality is not much better than my iPhone X. I would spend the extra money to get the full-size echo which has great sound quality.,neutral
we like it. very convenient,positive
Does everything I could ask and more. Great product.,positive
Too difficult to set up.  It keeps timing out before you can enter the password,negative
It doesn’t always  work,negative
Love my Echo,positive
Not much features.,negative
"Alexa is pretty dumb ,,,",negative
Cheap and cheap sound.,negative
This one's going in the kitchen for timer/music duty.,positive
"I love this device.  I bought it simple so that I can have an alarm clock with my Amazon Echo.....and during Prime day for the price you couldn't beat it.  But, I have Sonos and Big Ass Fan lights that I am able to control with this device.  It's perfect and getting better all the time.",positive
Nice product but as intelligent as we thought or had hoped.,neutral
"For as awesome as the Echo and Echo Dots are, the Spot is a disappointment. There is very little control over what the screen shows, what the clock looks like, what order things show up in, etc. At this point if I hadn't thrown the box away immediately, I would have sent it back and just got another full size Echo.",negative
"We went to a Best Buy with the intention of buying Alexa products, instead were talked into the Google Home products. Bought the Google Home and the Home Mini... has trouble from the start setting them up, and they couldn’t understand my husband (Scottish accent). After days of the “oops, something went wrong” command.. we returned them and bought the Amazon Echo Show and the Echo Plus... so easy to set up! It connected immediately to my amazon account and was way easier to navigate. They both understand commands from my husband on the first try and have yet to give an error message. We have loved these two products and should have gone with what we intended in the first place! You won’t regret your purchase!",positive
Highly like my eco show.no complaints,positive
"I am not super impressed with Alexa. When my Prime lapsed, she wouldn't play anything. She isn't smart enough to differentiate among spotify accounts so we can't use it for that either. She randomly speaks up when nobody is talking to her. Just today I unplugged her...not sure I'll ever use my Alexa again.",negative
Home,positive
Not impressed,neutral
"Great product EXCEPT there is no possible way for it to act as a clock the displays the time PERMANENTLY.  When in 'Clock' mode, the screen rotates between the clock face and a 'Things to Try' screen.  I intended on buying several units for my house, but I do not need a screen in the house that is permanently trying to upset me.  Acting as clock should be a BASIC feature of the Echo Spot.  How could you get this wrong, Amazon??  #FAIL",negative
Great sound from a little speaker,positive
"I love my Alexa Dot. I play games with my son, ask how the weather Is and I love that she works with my Amazon Fire Tv.",positive
Sound is terrible. Cannot pair with echo to play simultaneously.  Must upgrade to amazon music if you want to play more than one device at a time.,negative
I feel that the voice feature is useless. Lots of channels to stream though.,neutral
"I love Alexa and when I had the chance to add Show to my home... I jumped at it.  But... I'm a member and my Show doesn't know I paid for the extras with my Echo (now in the upstairs bedroom.  If I am supposed to pay more for having Show added to my home, then I'm afraid to ask &#34;What's the point?&#34;",neutral
I try use with yale lock but isn’t work,neutral
You need a Harvard law degree to operate this thing! It's going back very soon!,negative
Haven't had it a week and already it cannot connect to my network. Tried reconnecting manually and the echo never appears in the list of devices to connect. It will be on it's way back to Amazon,negative
Doesn't seem to hear as well as my 2nd Generation Echo and WHY is there no volume buttons on it?!,neutral
"I bought it to go with my security camera system, but it did not perform like I thought it would. It doesn't alert us when someone is at the door. Also, I can't talk to the person at the door through the echo show, only through my cell phone.",neutral
Ask it to play Motown radio on Pandora and it keeps asking if I want to add a salsa station. Motown isn’t close to salsa phonetically.,negative
Love it!  We have other echoes and love those so I bought this on prime day!  No regrets.  Love that I can connect to my Ring and see the front door.  Yhe kids like seeing the lyrics to songs and sing along. .,positive
"Would be 5 stars if you could turn off the &#34;Things to Try&#34; screen!!!  I should have read up on this before buying the Spot.  Amazon, please update to enable us to turn this off!  It is SO extremely annoying to look over to see the time but instead see &#34;Things to try&#34;.",neutral
"No problems, works as expected. Could have a better speaker.",neutral
"It works great, but the reason I'm leaving 3 stars is because it wont play unless it plugged in the whole time. Pretty irritating especially when there is no outlet available.",neutral
Seems to have trouble hearing me when I say the wake word despite being trained to my voice... Wonder if this has something to do with buying it refurbished. Our google home mini has no problems hearing us 😬 and is much louder.,neutral
Great sound and easy to set up. Purchased the Echo Plus because it had a built in Hub and would make it easier to connect to devices. I am hooked on Alexa!,positive
Alexa seems to get dumber and less useful all the time,neutral
"I received an Echo as a gift, loved it so much I decided to get the Dot for my bedroom. Both very easy to set up but a big difference in the sound quality. I would still buy it again.",neutral
Sure did !! Love it !!,positive
it's annoying that everything they show Alexa as being able to do has to be downloaded. You spend so  much time trying to figure out how to phrase it for the machine that you may as well just look it up yourself,neutral
"Overall love it. There are just some commands which aren't effective. It may be part user error or ""Alexa"" becoming accustom to what is being asked.",positive
I don't think the &#34;2nd gen&#34; sounds as good as the 1st.  But it does have an aux out... so you could add an external speaker.  But if you are going to do that why wouldn't you just get a dot?  2nd issue is (which isn't unique to this unit but I don't understand why I can't override the default that prevents you from playing a blue tooth speaker while playing through a &#34;group&#34;.  I get there is a delay when using a BT speaker.  But if the other units are not where they can be heard then I should be able to play as a group while using the BT speaker.,neutral
The speaker could be better...,neutral
Not impressed,neutral
It don’t show nothing,negative
I would love this but there is no way to stop the screen from constantly scrolling through “things to try”. If Amazon would make this a setting I would change my review to 5 stars.,negative
Fire HD does so much more.  Over priced pair of speakers.,negative
Terrible. Stopped working after one day.,negative
Echo Dot responds to us when we aren't even talking to it. I've unplugged it. It feels like it's &#34;spying&#34; on us.,negative
Bought this for my son and it didn’t work. He had to return it.,negative
"So far it seems to be a very nice item. It picks up on my voice and understands me without any problems. The other day I asked it to turn down the music from the next room and it heard me just fine. I've only used it to listen to music and check the weather, but it has done both of those things very well.",positive
Small size works great in our sunroom.,positive
"Our family bought several of these to help communicate with older parents and grandparents who need simpler devices than a full-fledged tablet.  What fantastic potential these have - for digital photo screen, video calls, easy accesss to music, audio books, etc. However, once we have them setup, we discovered the huge lurking negative.  Amazon forces you to view continous spam on the home screen promoting all their Alexa features.  You can turn off many other things in settins, but you cannot turn off &#34;Things to Try&#34;.  Instead of a beautiful digital photo screen with weather and time ... we now constantly have a spam ad across the home screen that says, &#34;Try ......&#34;.  AMAZON, please listen to your customers and offer a setting to turn off this SPAM!",negative
"Sounds well and we find it useful overall but it can be frustrating when it doesn’t respond or you forget the correct command.  “Alexa, turn on the living room lights”.  Oops I mean “Alexa turn on the family room lights”. I also never realized I call my couch a sofa some times.  Unfortunately my Alexa is confused by my changing names for where I sit.",neutral
No different than Apple. To play a specific list of music you must have an Amazon of Spotify “plus/prime/etc” account.  So you must pay to play “your” music.  3 stars for that reason.  Everything else is 👍🏻 .,neutral
Item no longer works after just 5 months of use. Will not connect to wifi and unresponsive to reset requests.,negative
"Great, love it!",positive
"Este producto llegó y a la semana se quedó sin olor, perdió toda su escencia, huele solo a alcohol",positive
The only negative we have on this product is the terrible sound quality.  A massive difference from the Alexa.  Which to us was a big reason we wanted to purchase this.Won’t be buying another until the speaker and sound quality can improve.,negative
Although I haven't taken advantage of many of the Echo's features there is one that bothers me. It starts talking even when I haven't said anything even close to the wake up word - ECHO - had to change from Alexa due to a conflict with another device.,neutral
"Have only had it set up for a few days. Still adding smart home devices to it. The speaker is great for playing music. I like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.",positive
"&#34;NEVER BUY CERTIFIED AND REFURBISHED ECHO DOT &#34; I bought a &#34;Certified and Refurbished &#34; Echo Dot. This unit is very poor in receiving command and sometimes it does not even acknowledge the command. Never buy a refurbished Echo dot. The unit I received was probably never was certified and refurbished as indicated. I also bought a new ECHO dot, it works perfectly.Very disappointed !!!!",negative
The first one quit working shortly after I got it. The next one becomes unresponsive to my voice at times and the only way to get it to work is through the app. I am not sure if it just this Dot or they are all this way.,negative
Speaker could be better qualty,neutral
The commands Alexa requires are too specific.  I find Google home to be much more flexible in figuring out what I'm asking for.,neutral
I really haven’t found any difference between this and the original version I bought. They both work great,positive
Works well. Just disappointed with the speaker quality. But hooked it up to old computer speakers.,neutral
"Awesome, wish I had gotten one sooner.",positive
The thing I like most about my Echo Spot is the voice command feature.  You can ask anything and get an answer or play any music without getting up to adjust the Echo. Easy to use,positive
Fast to load. But keeps rebooting  in middle of shows,negative
I've already returned it.,negative
Netflix and Hulu,neutral
received the wrong product...was so excited to install it ...all excitement gone. Thank you Amazon.,negative
I am huge Amazon fan! First to have a kindle and the echo. I waited a bit on this but have wanted it for awhile. I do love it!! My kids love it! They love watching videos and the lyrics to the songs. Now the video calling feature is nothing like how the advertisement made it out. I thought as long as someone would FaceTime me I could do it through that and I can’t. It’s Spot to Spot. Can’t even Skype (which I do often with my aunt). The is my major disappointment with it.,neutral
"The echo doesn’t come with a built in battery so it has to be plugged in at all times to use it, makes it quite inconvenient.",neutral
product stopped working after return time ran out,negative
Sad joke. Worthless.,negative
"Very impressed with look, clarity of sound and color.",positive
Beyond my capabilities to program. Grandkids lve it,neutral
like google better,neutral
The speaker could be better...,neutral
"I like the weather options but Alexa search compacity needs improvement. She aint no Google. Alexa gets our requests probably around 20% of the time. Currently Alexa doesn't do YouTube either. This is a huge drawback and why The echo show dropped in price.  International radio via tune in is awesome but again her search engine, its like pulling teeth to get to anything.",neutral
I love it works very well,positive
Works amazing! I love how you can download almost anything. Some apps I couldn’t download on my Apple TV but I was able too on here!!!,positive
"I love this product so far only because of the few things I can do with it...such as set a timer, a reminder, play music and games. I don't like that to get the full enjoyment from it that you have to purchase so many things. It was also very difficult to set up. The directions made it sound as simple as one, two, three but they forgot about step four, five and six. I was almost ready to send to back.The app is extremely slow and it took hours to get this thing set up. However depending on what you are going to be using it for I think it's an ok item.",positive
I like the interaction of asking questions. I don’t like that I can’t ask her to setup schedule of off and on of connected lamp.,neutral
Its very nice,positive
I was pleasantly surprised! It’s awesome so far,positive
I dislike that it confuses my requests all the time.,neutral
"Unit came with the wrong plug, will have to send back to Amazon.",negative
"I am so disappointed in this product.  I tried to install two different units and neither one of them were successfully completed.  Hours with Amazon technicians.. resetting each of them.  The app didn't connect the Echo Plus to the internet connection.  Tried using the application on a phone, a tablet and on a Chromebook... No luck.  There are no clean directions on the application.  Probably sending this back to Amazon..mark this as Not ready for prime time.",negative
"Works very well, but the microphone don&#34;t pick up as well as the full size echo.  Audio quality is okay for the size.",positive
I haven't figured out how to make or receive calls.  Device tells me I need to register and I do not know what to do.,negative
"It is a good addition to my small space, and it keeps me up to date on events and weather conditions.",positive
I love having an Alexa!,positive
I’m a fan of echo devices. I think it’s a great alternative to a clean clock. I like using it to adjust the lightning in the room and listening to sounds to help sleep. My two year old sleeps so much better with it on. We also use it to tell my two year old stories. Only issue is the volume of alexa speaking when you tell her to turn off the lights is loud when the volume is set to what you want to listen to the music at night,positive
Beyond my capabilities to program. Grandkids lve it,neutral
Love the echo dot it’s amaxing!!!,positive
"I like the Echo, but not sure about the Dot.  I use it a lot for music and Audio books.The sound quality of this smaller Echo is nowhere near the quality of the full sized model.  I haven't decided if I'll keep it or not!",neutral
I don'r know how to use it yet.  Need more explicit directions for the electeonically challenged.  I did not get the feee lifht bulb that was part of the package.,neutral
"I bought this to replace a &#34;Dot&#34; in my living room. Speaker is slightly better. It hears me better over the TV. Unfortunately, it doesn't understand or respond to my requests as well as the Dot. I frequently have to request 2 or 3 times to get it to do what I want. The Dot usually does exactly what I want on the first request. I don't consider it an upgrade.",neutral
"I used to use my laptop for anything show watching, including Netflix, but I am glad I bought this. This is super easy to set up and has everything you need with quick and easy access. Definitely worth the buy.",positive
Very disappointed.  Alexa doesn’t hear me and doesn’t respond to my requests.,negative
All of my echo devices stopped communicating properly with Sonos devices upon connecting the echo show to my account. Asking any echo device to play music on Sonos baffled the system that had previously worked flawlessly. This went on for two weeks until I eventually solved the problem that neither Amazon nor Sonos could figure out.,negative
